catchment_name,total_spill_hours,num_overflow_sites,total_contract_value_gbp,num_contracts,value_per_spill_hour,status
RIDGEWOOD STREAM,27.38,2,0,0,0.0,None
RIVER TILLINGHAM,10.37,4,0,0,0.0,None
ROTHER,264.29,39,0,0,0.0,None
RYEBANK RIFE,4.88,2,0,0,0.0,None
SANDOWN BAY,3.5,1,0,0,0.0,None
SCRASE STREAM,9.66,10,0,0,0.0,None
SEWAGE FARM,1.07,2,0,0,0.0,None
SHEDFIELD STREAM,4.11,3,0,0,0.0,None
SHEFFIELD PARK STREAM,6.97,1,0,0,0.0,None
SHORTBRIDGE STREAM,5.53,1,0,0,0.0,None
SHORWELL STREAM,7.03,2,0,0,0.0,None
SOMERHILL STREAM,15.27,3,0,0,0.0,None
SOUTHAMPTON WATER,60.44,6,0,0,0.0,None
SPEAR POND GULLY,25.95,1,0,0,0.0,None
STANBRIDGE STREAM,45.56,2,0,0,0.0,None
STOKE LAKE,0.58,1,0,0,0.0,None
STOR,37.34,3,0,0,0.0,None
STOUR,272.91,39,0,0,0.0,None
SUNNYSIDE STREAM,36.25,1,0,0,0.0,None
SWALE,72.55,9,0,0,0.0,None
TADBURN LAKE,17.22,2,0,0,0.0,None
TEISE,136.21,9,0,0,0.0,None
TEVILLE STREAM,2.09,5,0,0,0.0,None
THAMES,39.04,16,0,0,0.0,None
THE BROOKS,7.99,1,0,0,0.0,None
THE CRIDDELL STREAM,5.6,1,0,0,0.0,None
THE DELF STREAM,0.07,1,0,0,0.0,None
THE HERONS GHYLL,0.34,1,0,0,0.0,None
THE HURSTWOOD STREAM,0.36,1,0,0,0.0,None
THE LYNCH,23.9,1,0,0,0.0,None
TICKERAGE STREAM,1.22,1,0,0,0.0,None
TIDER GILL,6.13,1,0,0,0.0,None
TILLINGHAM,39.09,2,0,0,0.0,None
TRIBUTARY OF CLIFFE CREEK,0.76,1,0,0,0.0,None
TRIBUTARY OF GODSHILL STREAM,9.68,1,0,0,0.0,None
TRIBUTARY OF HERRINGS STREAM,8.55,1,0,0,0.0,None
TRIBUTARY OF SHORTBRIDGE STREAM,5.69,1,0,0,0.0,None
TRIBUTARY OF SPEAR POND GULLY,0.31,1,0,0,0.0,None
TRIBUTARY OF SPERINGBROOK SEWER,52.55,1,0,0,0.0,None
TRIBUTARY OF THE CLAYBRIDGE STREAM,0.64,1,0,0,0.0,None
TRIBUTARY OF THE COGGINS MILL STREAM,8.75,1,0,0,0.0,None
TRIBUTARY OF THE FORGE STREAM,1.03,1,0,0,0.0,None
TRIBUTARY OF THE NORTH SEA,4.53,1,0,0,0.0,None
TRIBUTARY OF THE ROYAL MILITARY CANAL,7.44,1,0,0,0.0,None
TRIBUTARY OF THE WEST SWALE,0.03,1,0,0,0.0,None
TUDELY BROOK,3.13,1,0,0,0.0,None
UCK,4.02,4,0,0,0.0,None
UN-NAMED DITCH TO LANCING BROOK,33.01,1,0,0,0.0,None
UN-NAMED TRIBUTARY OF THE BARTLEY MILL STREAM,5.47,2,0,0,0.0,None
UN-NAMED TRIBUTARY OF THE RIVER LOD,18.93,1,0,0,0.0,None
UNAMED STREAM - SCOTCHELLS BROOK,0.77,1,0,0,0.0,None
UNDERGROUND STRATA,23.38,2,0,0,0.0,None
UNNAMED DITCH TO ENGLISH CHANNEL,0.35,1,0,0,0.0,None
UNNAMED STREAM - CHALE,2.93,1,0,0,0.0,None
UNNAMED STREAM - TILMORE BROOK,3.1,1,0,0,0.0,None
